Price,Date,Close,High,Low,Open,Volume
730,2023-10-31,57639.47265625,57705.878566021696,56377.77976030683,57041.831102136166,2150258
731,2023-11-01,58303.5234375,58303.5234375,57174.63849401046,57639.47210205541,2317399
732,2023-11-02,59100.3828125,59100.3828125,57506.66425828957,58436.33147594043,1666177
733,2023-11-03,59033.9765625,59366.00222886327,58502.73704749627,59100.3824713614,1730612
734,2023-11-06,59432.41015625,59631.62401165644,58768.35880097004,59033.97856749325,1246531
735,2023-11-07,58635.55078125,59299.59825773182,58635.55078125,59100.38440258167,775755
736,2023-11-08,59432.41015625,59565.21810053966,58369.93109015717,58436.33312333006,1987303
737,2023-11-09,58369.9296875,59432.40872806095,58369.9296875,59432.40872806095,3426241
738,2023-11-10,57108.234375,58104.31140939005,57108.234375,57838.69164247482,2109445
739,2023-11-13,56776.2109375,57174.63863741104,56709.80502820023,57108.23272811127,4847965
740,2023-11-14,57108.234375,57440.26005313002,56709.8066635991,57108.234375,1624317
741,2023-11-15,58237.1171875,58237.1171875,57440.25791639684,57440.25791639684,6238336
742,2023-11-16,58436.33203125,58436.33203125,57573.070714640446,57772.28456632389,2008981
743,2023-11-17,56842.61328125,58369.92981381951,56776.211249529086,58303.52390415479,2531035
744,2023-11-20,57174.640625,57772.28607358657,56444.187231140815,56842.61494490258,1730313
745,2023-11-21,57506.6640625,57573.06997151863,56975.424546238544,57174.638395350645,1878318
746,2023-11-22,57573.0703125,57573.0703125,56776.21103338834,57307.45055279611,1602191
747,2023-11-23,56776.2109375,57639.47224662184,56776.2109375,57573.070215265856,1124539
748,2023-11-24,57108.234375,57108.234375,56444.18689668386,56776.21257481388,1186282
749,2023-11-27,56975.42578125,57108.23372422226,56510.59216393133,57108.23372422226,819260
750,2023-11-28,56975.42578125,57041.83169170805,56311.374432557175,56776.21192781969,1384669
751,2023-11-29,56510.59375,57041.83329268689,56510.59375,56709.80760902159,1252959
752,2023-11-30,56244.97265625,56709.80627568608,56244.97265625,56510.59242134832,1474967
753,2023-12-01,56444.1875,56444.1875,55846.54204856669,56377.78158807543,1179106
754,2023-12-04,57108.234375,57241.04619742957,56311.3750742543,56709.8066635991,1462259
755,2023-12-05,56709.8046875,57174.638293918186,56311.37311203887,57108.23238501737,3498092
756,2023-12-06,57041.83203125,57108.23406415946,56444.186589457735,56643.40044407386,1118260
757,2023-12-07,56576.99609375,57108.235639341794,56444.18814632404,56909.02177923086,3593172
758,2023-12-08,56444.1875,56776.21318167895,56444.1875,56576.99544590522,1933035
759,2023-12-11,55912.9453125,56643.39867524486,55846.53940372035,56444.18482684968,4138309
760,2023-12-12,55912.9453125,56244.97097845448,55780.1334949407,56244.97097845448,1716858
761,2023-12-13,55580.921875,56112.161410649125,55580.921875,55912.94755426668,3798795
