Date,Close,High,Low,Open,Volume
2023-08-04,15378.5380859375,15653.1548374721,15309.883898053851,15401.42281523205,26501100
2023-08-07,15721.80859375,15767.578051082604,15561.61549308588,15653.154407751092,12435852
2023-08-08,15561.6162109375,15790.463508157169,15538.731481215533,15744.694048713236,12900912
2023-08-09,15561.6162109375,15653.155129825367,15470.077292049633,15584.500940659467,10277250
2023-08-10,15332.767578125,15584.499583138992,15332.767578125,15561.614855410447,12552256
2023-08-11,15401.421875,15470.076058692424,15149.689868127783,15355.652419205053,11957422
2023-08-14,15470.0771484375,15470.0771484375,15309.88404187084,15447.192418927978,10237288
2023-08-15,15584.5,15744.693098384729,15492.9610866373,15515.845814977974,9305860
2023-08-16,16156.6181640625,16179.50289234021,15538.73050056436,15561.615228842067,34060220
2023-08-17,15882.001953125,16156.61870159402,15882.001953125,16156.61870159402,16117590
2023-08-18,14875.07421875,15813.348131009616,14852.189489182692,15813.348131009616,27139840
2023-08-21,14989.4970703125,15081.03598371899,14691.995601741412,14875.07342855439,11211844
2023-08-22,15149.6904296875,15149.6904296875,14600.456939789465,14989.49732846724,38778300
2023-08-23,15195.4599609375,15653.154538074172,15195.4599609375,15561.615622646836,19202726
2023-08-24,15470.0771484375,15538.73133696607,15286.999312361317,15332.768771380364,11792136
2023-08-25,15401.421875,15492.960786589896,15286.99823551263,15424.306602897474,10596480
2023-08-28,15561.6162109375,15607.385670381434,15378.538373161766,15492.9620217716,8167514
2023-08-29,15515.845703125,15676.038800354903,15447.191518597898,15561.6151594764,17774624
2023-08-30,15561.6162109375,15698.924589269302,15515.846751493566,15561.6162109375,8577008
2023-08-31,15790.462890625,15790.462890625,15607.385060009055,15607.385060009055,8243406
2023-09-05,16019.3095703125,16087.963754185268,15904.885930524551,15927.770658482144,91156160
2023-09-06,16110.849609375,16179.503798051315,15950.656502463602,16042.195420698688,15738820
2023-09-07,16362.58203125,16545.659872159093,16065.080539772727,16133.734730113638,18464034
2023-09-08,16179.50390625,16431.235933079915,16179.50390625,16408.351203368104,100977300
2023-09-11,15813.34765625,16293.926962735166,15767.578198489507,16293.926962735166,23651400
2023-09-12,16156.6181640625,16156.6181640625,15744.69305506374,15813.347239896866,41126500
